	chao1	shannon	observed_otus	simpson	equitability
10317.000001322	440.666666667	5.05375330765	315.0	0.93444334	0.6089440458
10317.000026106	560.125	5.61413935975	397.0	0.93504142	0.650311882672
10317.000008957B	584.555555556	6.35948029696	422.0	0.97080762	0.729206280006
10317.000001047	395.11627907	4.87391310319	280.0	0.90872024	0.599550180875
10317.000017071	505.333333333	4.61520628826	307.0	0.84984206	0.558600013028
10317.000015262	537.052631579	5.49362771122	376.0	0.94994344	0.642184891229
10317.000003981	472.552238806	5.45162073424	373.0	0.94609224	0.638136536179
10317.000014334	741.846153846	6.40127160708	494.0	0.9712089	0.715356381943
10317.000011378	675.901408451	5.77023317265	459.0	0.95520526	0.652567807037
10317.000016718	750.097560976	5.91279927161	383.0	0.96642438	0.689041028136
10317.000016714	671.214285714	6.59748978858	466.0	0.9790396	0.744286015762
10317.000007748	470.326086957	5.30242101007	340.0	0.9262195	0.630535677356
10317.000007073	692.4	5.77684391735	463.0	0.95603018	0.652391844499
10317.000001247	739.123287671	6.71801378351	511.0	0.98015046	0.746679978736
10317.000002036	408.0	4.97807613542	276.0	0.92725698	0.613931198204
10317.000012112	545.758064516	5.82168553298	382.0	0.96124142	0.678721520131
10317.000002437	401.133333333	4.92506718757	304.0	0.91855306	0.597127845698
10317.000003731	552.047619048	5.51105660479	402.0	0.94628824	0.637038917524
10317.000013171	624.886363636	5.53732319919	381.0	0.93909734	0.645853868033
10317.000001487	472.052631579	5.78710285279	363.0	0.96065836	0.680529332455
10317.000014306	504.810344828	5.3073492227	358.0	0.932449	0.625585156732
10317.000002064	605.135135135	6.23286395986	448.0	0.96820102	0.707688518859
10317.000002336	509.118644068	5.37814355261	367.0	0.90822208	0.631264456955
10317.000006074	480.016393443	5.69197975972	355.0	0.9622301	0.671883614004
10317.000012061	493.982758621	4.64589957095	331.0	0.8927537	0.555020077225
10317.000016756	647.803278689	6.00596224184	426.0	0.96212794	0.687597241691
10317.000011018	744.943661972	6.22108265246	500.0	0.96031206	0.693869320847
10317.000015261	655.924050633	5.84947961838	452.0	0.95982822	0.663192849409
10317.000013458	578.047619048	6.34708343381	428.0	0.96974984	0.726089047031
10317.000041935	472.914893617	4.26661825463	321.0	0.8139031	0.512418709752
10317.000033721	652.109589041	6.2544311443	453.0	0.97170666	0.708848557942
10317.000031491	516.058823529	6.37754920413	383.0	0.97731084	0.743200108568
10317.000017671	400.057692308	5.17777386685	291.0	0.93962932	0.632602654277
10317.000036943	542.217391304	5.98122766932	415.0	0.96145784	0.687737151056
10317.000036102	609.281690141	6.3223025013	439.0	0.97154546	0.720237747744
10317.000028894	590.105263158	5.27299451153	378.0	0.93799296	0.615842702213
10317.000040358	558.625	5.62709011156	367.0	0.9484334	0.660484784158
10317.000031506	660.303571429	6.05847841476	436.0	0.95663608	0.690961570873
10317.000016446	620.260869565	5.91915673912	482.0	0.94470336	0.664111997336
10317.000028793	498.344827586	5.45508841518	347.0	0.95007936	0.646430023453
10317.000042026	720.763888889	6.47478616213	492.0	0.97282168	0.724045363109
10317.000037582	560.416666667	5.74317060234	384.0	0.95552992	0.668980278232
10317.000029202	475.5	4.65705661375	312.0	0.86629918	0.562079726576
10317.000022618	782.911764706	6.3336251362	499.0	0.96732414	0.706649405776
10317.000021229	465.108108108	3.30880662633	259.0	0.69263416	0.412733660029
10317.000034121	558.434782609	4.51623591246	248.0	0.9120996	0.567780293097
10317.000036071	481.076923077	4.93823547668	313.0	0.9118707	0.595684469223
10317.000036166	623.519230769	5.7638577767	385.0	0.96063212	0.671096668274
10317.000031593	619.081081081	4.85547203269	333.0	0.88288704	0.579454921354
10317.000034194	758.576923077	5.99204921737	506.0	0.94843434	0.667043694014
10317.000036131	733.214285714	5.96451423293	463.0	0.95865738	0.673585871046
10317.000002347	421.765957447	4.9810450662	310.0	0.92283378	0.601857200579
10317.000016767	718.018518519	6.22129566731	452.0	0.96599044	0.705348008676
10317.000036109	407.0	4.12763142396	251.0	0.8154588	0.51779575637
10317.000004973	611.372881356	6.29182906207	427.0	0.96669096	0.720046078152
10317.000031379	811.846153846	5.9336226822	471.0	0.95231714	0.668232113535
10317.000004737	538.344262295	5.65953148076	403.0	0.92396436	0.653930617314
10317.000006666	533.115384615	4.85928550256	346.0	0.91278256	0.576111403065
10317.000003969	340.446808511	4.98971710571	259.0	0.93383658	0.622406938853
10317.000001749	677.23880597	6.29708918655	485.0	0.96471848	0.705806036105
10317.000009507	573.388888889	6.33387043814	444.0	0.97408272	0.720215024442
10317.000040348	777.623529412	5.97450069986	512.0	0.9562461	0.663833411096
10317.000026595	782.488372093	6.06669230362	412.0	0.96312568	0.698404643462
10317.000012335	574.754098361	5.49502712365	394.0	0.93569634	0.63732244235
10317.000022554	653.842105263	6.31845781438	439.0	0.97356278	0.719799760374
10317.000003718	706.114942529	6.4403738306	523.0	0.96870778	0.713167004545
10317.000006113	539.114754098	5.16833927351	375.0	0.91096752	0.604431332518
10317.000006662	698.625	6.28593099418	458.0	0.97044236	0.711142218788
10317.000013756	782.708333333	6.62717329518	520.0	0.97189066	0.734527059029
10317.000001216	586.089552239	6.23701658661	445.0	0.96947846	0.708940275582
10317.000016722	557.2	6.1577240149	401.0	0.97222344	0.71208483594
10317.000016358	390.833333333	4.92502190896	315.0	0.9180979	0.593432758649
